Country,Variable,Measure,Year,Value
Armenia,Inland waterway infrastucture investment,National currency,2016,
Armenia,Inland waterway infrastucture investment,National currency,2017,
Armenia,Inland waterway infrastucture investment,National currency,2018,
Armenia,Inland waterway infrastucture investment,National currency,2019,
Armenia,Inland waterway infrastucture investment,National currency,2020,
Armenia,Inland waterway infrastucture investment,National currency,2021,
Armenia,Maritime port infrastructure investment,National currency,2000,
Armenia,Maritime port infrastructure investment,National currency,2001,
Armenia,Maritime port infrastructure investment,National currency,2002,
Armenia,Maritime port infrastructure investment,National currency,2003,
Armenia,Maritime port infrastructure investment,National currency,2004,
Armenia,Maritime port infrastructure investment,National currency,2005,
Armenia,Maritime port infrastructure investment,National currency,2006,
