"COUNTRY","Country","VARIABLE","Variable","MEASURE","Measure","YEAR","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"ARM","Armenia","I-CPV-TOT-INLD","Total inland transport infrastructure capital value","NAT","National currency","2015","2015","AMD","Armenian Dram","0","Units",,,9713400000,,
"ARM","Armenia","I-CPV-TOT-INLD","Total inland transport infrastructure capital value","NAT","National currency","2016","2016","AMD","Armenian Dram","0","Units",,,6638400000,,
"ARM","Armenia","I-CPV-RL","Rail infrastructure capital value","NAT","National currency","2008","2008","AMD","Armenian Dram","0","Units",,,10968000000,,
"ARM","Armenia","I-CPV-RL","Rail infrastructure capital value","NAT","National currency","2009","2009","AMD","Armenian Dram","0","Units",,,27016400000,,
"ARM","Armenia","I-CPV-RL","Rail infrastructure capital value","NAT","National currency","2010","2010","AMD","Armenian Dram","0","Units",,,21991900000,,
"ARM","Armenia","I-CPV-RL","Rail infrastructure capital value","NAT","National currency","2011","2011","AMD","Armenian Dram","0","Units",,,137002200000,,
"ARM","Armenia","I-CPV-RL","Rail infrastructure capital value","NAT","National currency","2012","2012","AMD","Armenian Dram","0","Units",,,12355300000,,
"ARM","Armenia","I-CPV-RL","Rail infrastructure capital value","NAT","National currency","2013","2013","AMD","Armenian Dram","0","Units",,,6362100000,,
"ARM","Armenia","I-CPV-RL","Rail infrastructure capital value","NAT","National currency","2014","2014","AMD","Armenian Dram","0","Units",,,6648400000,,
"ARM","Armenia","I-CPV-RL","Rail infrastructure capital value","NAT","National currency","2015","2015","AMD","Armenian Dram","0","Units",,,6213400000,,
"ARM","Armenia","I-CPV-RL","Rail infrastructure capital value","NAT","National currency","2016","2016","AMD","Armenian Dram","0","Units",,,2998000000,,
"ARM","Armenia","I-CPV-RD","Road infrastructure capital value","NAT","National currency","2001","2001","AMD","Armenian Dram","0","Units",,,682000000,,
"ARM","Armenia","I-CPV-RD","Road infrastructure capital value","NAT","National currency","2002","2002","AMD","Armenian Dram","0","Units",,,450000000,,
"ARM","Armenia","I-CPV-RD","Road infrastructure capital value","NAT","National currency","2003","2003","AMD","Armenian Dram","0","Units",,,273500000,,
"ARM","Armenia","I-CPV-RD","Road infrastructure capital value","NAT","National currency","2004","2004","AMD","Armenian Dram","0","Units",,,2599900000,,
"ARM","Armenia","I-CPV-RD","Road infrastructure capital value","NAT","National currency","2005","2005","AMD","Armenian Dram","0","Units",,,11319400000,,
"ARM","Armenia","I-CPV-RD","Road infrastructure capital value","NAT","National currency","2006","2006","AMD","Armenian Dram","0","Units",,,12067200000,,
"ARM","Armenia","I-CPV-RD","Road infrastructure capital value","NAT","National currency","2007","2007","AMD","Armenian Dram","0","Units",,,13599000000,,
"ARM","Armenia","I-CPV-RD","Road infrastructure capital value","NAT","National currency","2008","2008","AMD","Armenian Dram","0","Units",,,12570000000,,
"ARM","Armenia","I-CPV-RD","Road infrastructure capital value","NAT","National currency","2009","2009","AMD","Armenian Dram","0","Units",,,11950500000,,
"ARM","Armenia","I-CPV-RD","Road infrastructure capital value","NAT","National currency","2010","2010","AMD","Armenian Dram","0","Units",,,1683700000,,
"ARM","Armenia","I-CPV-RD","Road infrastructure capital value","NAT","National currency","2011","2011","AMD","Armenian Dram","0","Units",,,4266000000,,
"ARM","Armenia","I-CPV-RD","Road infrastructure capital value","NAT","National currency","2012","2012","AMD","Armenian Dram","0","Units",,,4953300000,,
"ARM","Armenia","I-CPV-RD","Road infrastructure capital value","NAT","National currency","2013","2013","AMD","Armenian Dram","0","Units",,,3944000000,,
"ARM","Armenia","I-CPV-RD","Road infrastructure capital value","NAT","National currency","2014","2014","AMD","Armenian Dram","0","Units",,,13238400000,,
"ARM","Armenia","I-CPV-RD","Road infrastructure capital value","NAT","National currency","2015","2015","AMD","Armenian Dram","0","Units",,,3500000000,,
